Rank,Player,Stat,Line,Pick,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
48,Nikola Jokić,3PA,5.5,UNDER,63.50%,B,BET,63.39,✅ HIT,2.0,UNDER,66.30%,66.2,✅ HIT,UNDER,65.70%,65.51,✅ HIT,UNDER,61.10%,60.98,✅ HIT,UNDER,61.00%,60.87,✅ HIT,-0.25,-0.7,0.49,-1.9,1.22,1.0,1.2,0.0248,100.00%
49,Rudy Gobert,SB,2.5,UNDER,64.00%,A,BET WITH CAUTION,63.35,✅ HIT,0.0,UNDER,61.50%,60.85,✅ HIT,UNDER,61.60%,60.88,✅ HIT,UNDER,66.70%,65.97,✅ HIT,UNDER,66.40%,65.72,✅ HIT,-0.06,-0.16,-1.15,-0.3,0.19,0.8,0.8,0.0249,100.00%
50,LaMelo Ball,AST,7.5,UNDER,61.90%,C,DO NOT BET,63.31,✅ HIT,5.0,UNDER,62.80%,64.19,✅ HIT,UNDER,62.10%,63.54,✅ HIT,UNDER,61.60%,62.97,✅ HIT,UNDER,61.10%,62.54,✅ HIT,-0.16,-1.02,1.5,-1.9,1.6,1.4,1.6,0.0062,100.00%
51,Amen Thompson,PRA,28.5,OVER,67.20%,D,STRONG BET,63.28,❌ MISS,25.0,OVER,71.10%,67.24,❌ MISS,OVER,70.80%,66.91,❌ MISS,OVER,63.30%,59.36,❌ MISS,OVER,63.50%,59.62,❌ MISS,-0.72,-2.44,-0.2,-7.3,5.15,1.6,2.0,0.0379,100.00%
52,Aaron Gordon,3PA,4.5,UNDER,64.20%,B,BET,63.08,✅ HIT,2.0,UNDER,65.60%,64.49,✅ HIT,UNDER,65.00%,63.86,✅ HIT,UNDER,63.20%,62.1,✅ HIT,UNDER,62.90%,61.85,✅ HIT,-0.02,-0.53,-1.72,-0.7,0.68,1.2,1.6,0.0113,100.00%
53,Russell Westbrook,AST,5.5,OVER,66.30%,C,STRONG BET,63.06,✅ HIT,9.0,OVER,67.00%,63.8,✅ HIT,OVER,65.10%,61.85,✅ HIT,OVER,67.60%,64.34,✅ HIT,OVER,65.50%,62.27,✅ HIT,-0.42,-1.28,-1.5,-3.1,2.08,1.0,1.6,0.0103,100.00%
54,RJ Barrett,PA,24.5,UNDER,63.90%,D,DO NOT BET,62.97,✅ HIT,17.0,UNDER,63.80%,62.85,✅ HIT,UNDER,63.60%,62.58,✅ HIT,UNDER,64.40%,63.43,✅ HIT,UNDER,64.00%,63.03,✅ HIT,-0.61,0.48,0.35,1.9,-4.3,1.2,0.8,0.0031,100.00%
55,Jalen Suggs,PTS,14.5,UNDER,62.30%,D,DO NOT BET,62.85,✅ HIT,12.0,UNDER,63.70%,64.28,✅ HIT,UNDER,63.60%,64.17,✅ HIT,UNDER,60.90%,61.41,✅ HIT,UNDER,61.00%,61.52,✅ HIT,-0.22,0.15,-0.06,0.5,-1.22,1.4,1.2,0.0138,100.00%
56,Mikal Bridges,RA,7.5,UNDER,61.50%,C,DO NOT BET,62.83,✅ HIT,7.0,UNDER,61.90%,63.16,✅ HIT,UNDER,60.40%,61.7,✅ HIT,UNDER,62.70%,64.0,✅ HIT,UNDER,61.20%,62.48,✅ HIT,0.2,0.03,-0.89,0.1,0.46,1.4,1.2,0.0085,100.00%
57,Scottie Barnes,STL,1.5,UNDER,62.60%,A,BET WITH CAUTION,62.81,❌ MISS,3.0,UNDER,63.60%,63.78,❌ MISS,UNDER,63.70%,63.88,❌ MISS,UNDER,61.50%,61.74,❌ MISS,UNDER,61.60%,61.84,❌ MISS,-0.15,-0.31,0.0,-0.3,0.15,0.8,1.6,0.0102,100.00%
58,Reed Sheppard,3PM,2.5,OVER,62.40%,S,BET WITH CAUTION,62.73,❌ MISS,1.0,OVER,64.20%,64.62,❌ MISS,OVER,63.80%,64.23,❌ MISS,OVER,60.90%,61.32,❌ MISS,OVER,60.40%,60.77,❌ MISS,-0.09,-0.55,-0.44,-0.9,0.76,1.6,1.6,0.0171,100.00%
59,Jamal Murray,TOV,2.5,UNDER,61.70%,A,BET WITH CAUTION,62.64,✅ HIT,1.0,UNDER,61.00%,61.96,✅ HIT,UNDER,61.00%,61.88,✅ HIT,UNDER,62.50%,63.45,✅ HIT,UNDER,62.40%,63.28,✅ HIT,-0.06,-0.04,0.0,-0.1,-0.07,1.2,1.2,0.0073,100.00%
60,Immanuel Quickley,FTM,2.5,UNDER,61.20%,B,BET WITH CAUTION,62.57,❌ MISS,6.0,UNDER,59.00%,60.36,❌ MISS,UNDER,59.30%,60.61,❌ MISS,UNDER,63.50%,64.78,❌ MISS,UNDER,63.20%,64.51,❌ MISS,0.05,0.36,0.0,0.7,-0.59,0.8,0.8,0.0209,100.00%
61,Jalen Suggs,3PM,2.5,UNDER,65.30%,S,BET,62.56,✅ HIT,1.0,UNDER,65.30%,62.59,✅ HIT,UNDER,65.40%,62.68,✅ HIT,UNDER,65.20%,62.47,✅ HIT,UNDER,65.20%,62.5,✅ HIT,-0.32,0.2,-2.92,0.3,-0.77,0.8,0.4,0.0008,100.00%
62,Amen Thompson,AST,5.5,UNDER,62.00%,C,DO NOT BET,62.55,✅ HIT,4.0,UNDER,61.90%,62.45,✅ HIT,UNDER,61.30%,61.87,✅ HIT,UNDER,62.60%,63.2,✅ HIT,UNDER,62.10%,62.67,✅ HIT,-0.21,0.1,-0.29,0.1,-0.31,1.2,0.8,0.0047,100.00%
63,Donovan Mitchell,AST,4.5,OVER,65.20%,C,STRONG BET,62.49,✅ HIT,5.0,OVER,66.90%,64.23,✅ HIT,OVER,65.00%,62.3,✅ HIT,OVER,65.40%,62.67,✅ HIT,OVER,63.50%,60.75,✅ HIT,-1.75,-0.4,-0.65,-0.3,-1.01,1.4,1.2,0.0124,100.00%
64,Kawhi Leonard,PR,35.5,UNDER,63.50%,D,DO NOT BET,62.46,❌ MISS,50.0,UNDER,64.60%,63.54,❌ MISS,UNDER,64.20%,63.11,❌ MISS,UNDER,62.70%,61.66,❌ MISS,UNDER,62.60%,61.54,❌ MISS,-0.41,-0.11,-0.38,-0.3,-0.88,1.0,0.8,0.0088,100.00%
65,Mikal Bridges,STL,1.5,UNDER,64.00%,A,BET WITH CAUTION,62.4,✅ HIT,0.0,UNDER,61.10%,59.54,✅ HIT,UNDER,61.30%,59.69,✅ HIT,UNDER,66.80%,65.17,✅ HIT,UNDER,66.80%,65.17,✅ HIT,-0.08,-1.12,-1.33,-0.9,0.84,1.0,1.6,0.0278,100.00%
66,Nikola Jokić,PTS,27.5,OVER,63.40%,D,DO NOT BET,62.37,❌ MISS,16.0,OVER,64.70%,63.6,❌ MISS,OVER,63.80%,62.71,❌ MISS,OVER,63.10%,62.08,❌ MISS,OVER,62.10%,61.08,❌ MISS,-0.25,-0.63,-0.19,-3.5,2.1,1.4,1.6,0.0092,100.00%
67,Miles Bridges,PR,21.5,OVER,63.40%,D,DO NOT BET,62.31,✅ HIT,28.0,OVER,61.00%,59.94,✅ HIT,OVER,60.70%,59.55,✅ HIT,OVER,65.90%,64.81,✅ HIT,OVER,66.00%,64.93,✅ HIT,-0.46,1.35,-1.0,5.3,-7.1,0.8,0.4,0.0257,100.00%
68,Brandon Ingram,FTM,3.5,UNDER,60.50%,B,BET WITH CAUTION,62.31,❌ MISS,4.0,UNDER,57.10%,58.91,❌ MISS,UNDER,57.60%,59.38,❌ MISS,UNDER,63.80%,65.63,❌ MISS,UNDER,63.50%,65.32,❌ MISS,0.18,0.35,0.0,0.5,-0.24,1.0,0.8,0.0317,100.00%
69,Alperen Sengun,PA,23.5,OVER,64.90%,D,DO NOT BET,62.27,❌ MISS,13.0,OVER,68.70%,66.02,❌ MISS,OVER,69.10%,66.43,❌ MISS,OVER,60.70%,58.05,❌ MISS,OVER,61.20%,58.56,❌ MISS,-0.47,-0.24,0.02,-1.5,-1.44,1.0,1.2,0.0397,100.00%
70,Trey Murphy III,AST,3.5,OVER,60.70%,C,DO NOT BET,62.07,❌ MISS,3.0,OVER,61.40%,62.84,❌ MISS,OVER,59.90%,61.31,❌ MISS,OVER,61.50%,62.88,❌ MISS,OVER,59.80%,61.25,❌ MISS,-0.81,-0.75,1.5,-0.3,-0.02,1.8,1.6,0.0079,100.00%
71,Julius Randle,FTM,4.5,UNDER,60.10%,B,BET WITH CAUTION,62.05,✅ HIT,3.0,UNDER,59.20%,61.17,✅ HIT,UNDER,59.50%,61.4,✅ HIT,UNDER,60.90%,62.8,✅ HIT,UNDER,60.90%,62.85,✅ HIT,0.18,0.03,0.0,0.1,0.43,1.2,1.2,0.0078,100.00%
72,Kawhi Leonard,3PM,2.5,UNDER,60.60%,S,BET WITH CAUTION,61.71,❌ MISS,6.0,UNDER,60.80%,61.91,❌ MISS,UNDER,60.90%,62.05,❌ MISS,UNDER,60.20%,61.38,❌ MISS,UNDER,60.40%,61.51,❌ MISS,0.03,-0.6,0.27,-0.7,0.74,1.4,1.2,0.0028,100.00%
