Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Rank Score,Result,Actual Value,Avg Edge Side,Avg Same Line Market Prob Side,Avg All Books Market Prob Side,Same Line Books,All Books,Edge,Model Alpha,Agreement,Signals,Market Consensus Line,Market Consensus Prob,Best Over Odds,Best Over Book,Best Under Odds,Best Under Book,DFS vs Market,FanDuel line,FanDuel line_delta,FanDuel over_no_vig_prob,FanDuel under_no_vig_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_no_vig_prob,DraftKings under_no_vig_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_no_vig_prob,BetRivers under_no_vig_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_no_vig_prob,BetOnline under_no_vig_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_no_vig_prob,Bovada under_no_vig_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_no_vig_prob,BetMGM under_no_vig_prob,BetMGM edge,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
298,CJ McCollum,AST,4.5,UNDER,Underdog,,0.86x,57.5%,9.56,,,0.0,,,0,0,,0.0348,1.0,-3.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,0.04,-4.04,0.1,-0.86,1.2,0.8,0.0154,100.0%
299,Ausar Thompson,SB,2.5,UNDER,Underdog,,1.04x,55.8%,9.46,,,0.0,,,0,0,,0.0181,1.0,2.8371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,1.02,0.08,2.1,-1.74,0.8,0.4,0.0436,100.0%
300,CJ McCollum,TOV,1.5,OVER,PrizePicks,Goblin,,56.3%,9.4,,,0.0,,,0,0,,0.0232,1.0,0.2193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22,-0.53,-1.73,-0.7,0.4,1.4,1.6,0.0222,100.0%
301,Kon Knueppel,REB,4.5,OVER,Underdog,,0.83x,53.0%,9.34,,,0.0306,0.5707,0.5706,5,6,0.0307,-0.041,1.0,0.0856,4.5,54.6%,120,Bovada,122,DraftKings,NEUTRAL,4.5,0.0,57.2%,42.8%,-0.0103,4.5,0.0,57.8%,42.2%,-0.0103,4.5,0.0,56.5%,43.5%,-0.0103,4.5,0.0,57.3%,42.7%,-0.0103,5.5,1.0,57.0%,43.0%,-0.0103,4.5,0.0,56.6%,43.4%,-0.0103,-0.26,-0.22,-0.2,-0.7,-0.13,0.8,0.8,0.0186,100.0%
302,Rudy Gobert,PRA,26.5,UNDER,Underdog and PrizePicks,,,61.2%,9.29,,,-0.0427,0.4973,0.4973,3,3,-0.0427,0.1147,1.0,-0.4977,26.5,49.7%,-114,BetOnline.ag,-111,DraftKings,NEUTRAL,,,,,,26.5,0.0,50.8%,49.2%,0.072,,,,,,26.5,0.0,50.0%,50.0%,0.072,,,,,,26.5,0.0,50.0%,50.0%,0.072,-0.63,0.93,0.05,3.3,-5.54,1.0,0.4,0.0296,100.0%
303,VJ Edgecombe,3PA,5.5,UNDER,Underdog,,0.87x,55.8%,9.23,,,0.0,,,0,0,,0.0177,1.0,1.4005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.3,-2.0,1.3,-1.06,1.6,1.2,0.0216,100.0%
304,CJ McCollum,PA,24.5,UNDER,Underdog,,,55.7%,9.2,,,0.0,,,0,0,,0.0169,1.0,1.0214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.45,0.16,0.89,0.7,-2.68,1.2,1.2,0.0111,100.0%
305,VJ Edgecombe,SB,1.5,OVER,PrizePicks,,,56.3%,9.13,,,0.0,,,0,0,,0.0228,1.0,0.3727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.17,0.75,-0.33,0.3,-0.77,1.2,0.4,0.0342,100.0%
306,LaMelo Ball,FGA,16.5,OVER,Underdog and PrizePicks,,,55.7%,9.02,,,0.0,,,0,0,,0.0167,1.0,0.6671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17,-0.09,-0.33,-0.3,-0.25,1.0,0.8,0.0098,100.0%
307,CJ McCollum,STL,0.5,OVER,PrizePicks,Goblin,,55.5%,9.0,,,0.0,,,0,0,,0.015,1.0,2.1578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.55,-0.2,0.58,-0.1,-0.17,1.4,1.2,0.0311,100.0%
308,Miles Bridges,TOV,1.5,UNDER,PrizePicks,,,55.6%,8.98,,,0.0,,,0,0,,0.016,1.0,2.1376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.07,-0.75,0.39,-0.3,0.27,1.0,1.6,0.0369,100.0%
309,Rudy Gobert,PR,24.5,UNDER,Underdog and PrizePicks,,,60.1%,8.88,,,-0.0742,0.504,0.4658,1,4,-0.036,0.0969,1.0,0.2318,25.5,51.2%,-105,BetMGM,-115,FanDuel,UNFAVORABLE,24.5,0.0,49.6%,50.4%,0.0609,25.5,1.0,54.9%,45.1%,0.0609,,,,,,,,,,,25.5,1.0,55.0%,45.0%,0.0609,25.5,1.0,54.1%,45.9%,0.0609,-0.52,1.2,0.11,4.5,-6.46,1.0,0.4,0.0383,100.0%
310,Tobias Harris,AST,2.5,OVER,Underdog and PrizePicks,Goblin,0.81x,53.2%,8.78,,,0.0439,0.5639,0.5839,4,6,0.0239,-0.0318,1.0,-0.0764,2.5,50.2%,160,Bovada,120,FanDuel,NEUTRAL,2.5,0.0,57.1%,42.9%,-0.0079,2.5,0.0,56.4%,43.6%,-0.0079,3.5,1.0,64.2%,35.8%,-0.0079,2.5,0.0,56.3%,43.7%,-0.0079,3.5,1.0,60.6%,39.5%,-0.0079,2.5,0.0,55.7%,44.3%,-0.0079,0.0,-1.98,-1.5,-2.5,2.5,1.4,2.0,0.0102,100.0%
311,Coby White,TOV,2.5,UNDER,Underdog,,0.76x,56.0%,8.74,,,0.0,,,0,0,,0.0196,1.0,1.3046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,-0.05,-0.89,-0.1,0.27,1.2,0.8,0.0502,100.0%
312,Naz Reid,SB,1.5,OVER,PrizePicks,Goblin,,54.1%,8.7,,,0.0,,,0,0,,0.0015,1.0,4.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.39,-0.92,3.0,-1.1,0.63,1.2,1.6,0.0047,100.0%
313,Donte DiVincenzo,AST,3.5,UNDER,Underdog,,,58.0%,8.35,,,-0.0262,0.5138,0.5138,5,5,-0.0262,0.0657,1.0,0.8239,3.5,51.4%,100,Bovada,-108,FanDuel,NEUTRAL,3.5,0.0,51.1%,48.9%,0.0395,3.5,0.0,47.3%,52.7%,0.0395,3.5,0.0,49.3%,50.7%,0.0395,3.5,0.0,48.4%,51.6%,0.0395,3.5,0.0,46.9%,53.0%,0.0395,,,,,,0.26,-0.15,-3.0,-0.3,0.81,1.6,1.6,0.0108,100.0%
314,Jalen Duren,STL,0.5,OVER,PrizePicks,Goblin,,56.0%,8.34,,,0.0,,,0,0,,0.0201,1.0,-0.1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.42,-0.56,-1.0,-0.5,0.13,1.0,1.2,0.0403,100.0%
315,LaMelo Ball,FTM,2.5,UNDER,Underdog,,0.80x,54.6%,8.23,,,0.0,,,0,0,,0.0065,1.0,1.8018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2,0.32,0.59,0.5,-0.81,1.0,0.4,0.0074,100.0%
316,Brandon Miller,PRA,29.5,UNDER,Underdog,,,58.7%,8.18,,,-0.0298,0.508,0.5102,3,6,-0.032,0.0789,1.0,0.5675,29.5,50.2%,120,Bovada,116,BetRivers,NEUTRAL,28.5,-1.0,46.9%,53.1%,0.0469,29.5,0.0,48.4%,51.6%,0.0469,27.5,-2.0,47.1%,52.9%,0.0469,29.5,0.0,49.2%,50.8%,0.0469,31.5,2.0,52.3%,47.7%,0.0469,29.5,0.0,50.0%,50.0%,0.0469,-0.1,-0.21,-0.26,-1.3,0.64,1.0,0.8,0.0189,100.0%
317,Tyrese Maxey,PTS,24.5,OVER,Underdog,,,62.6%,8.15,,,-0.0608,0.4823,0.4792,4,6,-0.0577,0.1434,1.0,-2.8186,24.5,45.5%,205,Bovada,-118,DraftKings,NEUTRAL,24.5,0.0,47.6%,52.4%,0.0857,24.5,0.0,49.1%,50.9%,0.0857,24.5,0.0,48.1%,51.9%,0.0857,24.5,0.0,48.1%,51.9%,0.0857,28.5,4.0,50.9%,49.1%,0.0857,23.5,-1.0,43.8%,56.2%,0.0857,-1.05,-0.73,0.02,-3.1,-1.37,1.8,1.6,0.015,100.0%
318,Victor Wembanyama,3PA,6.5,UNDER,Underdog,,1.06x,55.2%,8.11,,,0.0,,,0,0,,0.0122,1.0,-0.3185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.57,-0.52,0.37,-0.9,-0.1,0.6,0.8,0.0014,100.0%
319,Kon Knueppel,3PM,3.5,UNDER,Underdog and PrizePicks,,,57.1%,7.98,,,-0.0271,0.5203,0.5129,5,6,-0.0197,0.0507,1.0,0.5645,3.5,54.9%,205,Bovada,-122,BetOnline.ag,NEUTRAL,3.5,0.0,46.8%,53.2%,0.031,3.5,0.0,48.5%,51.5%,0.031,3.5,0.0,48.1%,51.9%,0.031,3.5,0.0,48.4%,51.6%,0.031,4.5,1.0,52.4%,47.6%,0.031,3.5,0.0,48.0%,52.0%,0.031,0.01,-0.06,-1.0,-0.1,0.11,0.8,0.8,0.0113,100.0%
320,Ace Bailey,SB,1.5,UNDER,PrizePicks,,,54.8%,7.86,,,0.0,,,0,0,,0.0081,1.0,0.8265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,0.84,-1.0,1.5,-1.51,0.6,0.4,0.0114,100.0%
321,Jalen Duren,BLK,0.5,OVER,PrizePicks,Goblin,,51.5%,7.59,,,0.0374,0.5774,0.5774,1,1,0.0374,-0.0624,0.75,0.9722,0.5,57.7%,-164,BetMGM,120,BetMGM,NEUTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.0,57.7%,42.3%,-0.025,-0.36,-0.31,0.0,-0.3,-0.06,1.2,0.8,0.0143,75.0%
322,Ausar Thompson,PTS,10.5,UNDER,Underdog,,,58.6%,7.55,,,-0.0496,0.4963,0.4904,4,5,-0.0437,0.0891,1.0,2.4548,10.5,52.6%,165,Bovada,-108,FanDuel,NEUTRAL,10.5,0.0,51.1%,48.9%,0.0455,10.5,0.0,49.7%,50.3%,0.0455,10.5,0.0,50.9%,49.1%,0.0455,10.5,0.0,49.7%,50.3%,0.0455,12.5,2.0,53.3%,46.7%,0.0455,,,,,,-0.11,0.02,0.37,0.1,-0.54,1.4,1.2,0.0037,100.0%
323,Tyrese Maxey,PRA,34.5,OVER,Underdog and PrizePicks,,,61.4%,7.49,,,-0.0415,0.4955,0.4985,5,6,-0.0445,0.1188,1.0,-4.4248,34.5,48.4%,120,Bovada,-115,BetMGM,NEUTRAL,34.5,0.0,49.5%,50.5%,0.0743,34.5,0.0,49.7%,50.3%,0.0743,34.5,0.0,49.1%,50.9%,0.0743,34.5,0.0,49.5%,50.5%,0.0743,36.5,2.0,51.4%,48.6%,0.0743,34.5,0.0,50.0%,50.0%,0.0743,-1.1,-0.61,-0.06,-2.9,-2.35,1.4,1.2,0.0247,100.0%
324,Ausar Thompson,PR,16.0,UNDER,PrizePicks,,,57.1%,7.43,,,-0.0322,,0.5078,0,4,-0.0322,0.0629,1.0,3.5587,16.0,50.8%,105,Bovada,-105,BetMGM,NEUTRAL,16.5,0.5,50.6%,49.4%,0.0307,15.5,-0.5,48.3%,51.7%,0.0307,,,,,,,,,,,16.5,0.5,49.5%,50.5%,0.0307,15.5,-0.5,48.4%,51.5%,0.0307,-0.05,-0.09,1.5,-0.4,0.2,1.2,1.2,0.0168,100.0%
325,CJ McCollum,PR,23.0,UNDER,PrizePicks,,,54.1%,7.39,,,0.0,,,0,0,,0.0012,1.0,1.9677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22,0.16,1.07,0.6,-1.44,1.0,0.8,0.0148,100.0%
326,VJ Edgecombe,RA,9.0,OVER,PrizePicks,,,59.1%,7.33,,,-0.0445,,0.4955,0,4,-0.0445,0.095,1.0,0.9719,9.0,49.6%,120,Bovada,102,FanDuel,NEUTRAL,8.5,-0.5,47.8%,52.2%,0.0505,8.5,-0.5,47.0%,53.0%,0.0505,,,,,,,,,,,9.5,0.5,48.3%,51.7%,0.0505,9.5,0.5,55.1%,44.9%,0.0505,-0.17,-0.91,-0.21,-3.8,3.07,1.4,1.6,0.0065,100.0%
327,Ausar Thompson,RA,8.5,UNDER,Underdog and PrizePicks,,,54.8%,7.3,,,-0.0153,0.5309,0.5248,3,4,-0.0091,0.017,1.0,2.2244,8.5,55.4%,150,Bovada,-120,FanDuel,NEUTRAL,8.5,0.0,48.5%,51.5%,0.0078,8.5,0.0,47.6%,52.4%,0.0078,,,,,,,,,,,9.5,1.0,49.4%,50.6%,0.0078,8.5,0.0,44.6%,55.4%,0.0078,0.06,-0.19,-0.0,-0.5,0.66,1.0,1.2,0.0056,100.0%
328,Dyson Daniels,RA,12.5,UNDER,Underdog and PrizePicks,,,56.0%,7.27,,,-0.0178,0.5222,0.5222,4,4,-0.0178,0.0376,1.0,1.9286,12.5,52.2%,100,FanDuel,-115,BetMGM,NEUTRAL,12.5,0.0,46.8%,53.2%,0.0198,12.5,0.0,47.3%,52.7%,0.0198,,,,,,,,,,,12.5,0.0,46.9%,53.0%,0.0198,12.5,0.0,50.0%,50.0%,0.0198,0.02,-0.39,-0.0,-1.7,1.8,1.0,1.2,0.0165,100.0%
329,Ausar Thompson,PRA,19.5,UNDER,Underdog,,,56.3%,7.2,,,-0.0168,0.52,0.5232,4,6,-0.02,0.0434,1.0,1.6213,19.5,52.3%,125,Bovada,-105,BetMGM,NEUTRAL,19.5,0.0,48.9%,51.1%,0.0234,19.5,0.0,47.3%,52.7%,0.0234,19.5,0.0,47.6%,52.4%,0.0234,19.5,0.0,48.1%,51.9%,0.0234,20.5,1.0,47.9%,52.1%,0.0234,18.5,-1.0,46.2%,53.8%,0.0234,-0.15,-0.18,0.33,-0.9,0.12,1.2,1.2,0.0195,100.0%
330,De'Aaron Fox,3PM,1.5,OVER,Underdog and PrizePicks,,0.88x,55.8%,7.16,,,-0.0119,0.5281,0.5281,6,6,-0.0119,0.0298,1.0,-0.0722,1.5,52.8%,-118,FanDuel,105,Bovada,NEUTRAL,1.5,0.0,51.1%,48.9%,0.0179,1.5,0.0,54.1%,45.9%,0.0179,1.5,0.0,51.6%,48.4%,0.0179,1.5,0.0,52.5%,47.5%,0.0179,1.5,0.0,54.1%,45.9%,0.0179,1.5,0.0,53.5%,46.5%,0.0179,-0.38,0.1,-1.0,0.1,-0.49,0.8,0.8,0.0053,100.0%
331,Karl-Anthony Towns,PTS,17.5,OVER,PrizePicks,,,62.5%,7.04,,,-0.068,0.472,0.472,1,1,-0.068,0.1532,1.0,-1.4251,17.5,47.2%,-102,FanDuel,-130,FanDuel,NEUTRAL,17.5,0.0,47.2%,52.8%,0.0852,,,,,,,,,,,,,,,,,,,,,,,,,,-0.55,-0.86,-0.4,-4.1,1.48,1.4,1.6,0.0227,100.0%
332,Miles Bridges,REB,5.5,UNDER,Underdog,,0.84x,53.6%,6.98,,,-0.0033,0.5361,0.5367,5,6,-0.0039,0.0005,1.0,3.4264,5.5,56.0%,190,Bovada,-115,BetMGM,NEUTRAL,5.5,0.0,44.4%,55.6%,-0.0035,5.5,0.0,46.3%,53.7%,-0.0035,5.5,0.0,44.3%,55.7%,-0.0035,5.5,0.0,46.9%,53.0%,-0.0035,6.5,1.0,46.0%,54.0%,-0.0035,5.5,0.0,50.0%,50.0%,-0.0035,0.14,0.19,0.35,0.5,-0.15,1.2,1.2,0.0102,100.0%
333,Coby White,SB,0.5,OVER,PrizePicks,,,54.5%,6.95,,,0.0,,,0,0,,0.0055,1.0,0.0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.0,6.0,-0.41,0.5,-0.69,0.6,0.0,0.0168,100.0%
334,De'Aaron Fox,AST,6.0,UNDER,PrizePicks,,,55.3%,6.74,,,-0.0171,,0.5229,0,6,-0.0171,0.0303,1.0,2.2463,5.5,49.4%,135,Bovada,115,BetRivers,NEUTRAL,5.5,-0.5,45.5%,54.5%,0.0132,5.5,-0.5,45.4%,54.6%,0.0132,5.5,-0.5,48.0%,52.0%,0.0132,5.5,-0.5,45.9%,54.1%,0.0132,6.5,0.5,48.6%,51.4%,0.0132,6.5,0.5,53.0%,46.9%,0.0132,0.19,-0.29,-0.5,-0.4,0.65,1.0,1.6,0.0107,100.0%
335,Coby White,PTS,15.5,OVER,Underdog,,1.06x,63.8%,6.62,,,-0.0873,,0.4527,0,6,-0.0873,0.1852,1.0,0.0397,14.5,47.4%,210,Bovada,-104,DraftKings,UNFAVORABLE,14.5,-1.0,44.0%,56.0%,0.0979,14.5,-1.0,45.9%,54.1%,0.0979,14.5,-1.0,44.7%,55.3%,0.0979,14.5,-1.0,44.8%,55.2%,0.0979,18.5,3.0,47.3%,52.7%,0.0979,14.5,-1.0,45.0%,55.0%,0.0979,-0.39,-0.99,0.93,-5.9,3.59,1.2,1.6,0.0244,100.0%
336,VJ Edgecombe,PR,21.5,OVER,Underdog,,1.04x,61.6%,6.48,,,-0.0695,0.4675,0.4705,2,4,-0.0726,0.1482,1.0,2.1167,21.0,49.3%,105,Bovada,-104,FanDuel,NEUTRAL,20.5,-1.0,47.9%,52.0%,0.0756,20.5,-1.0,46.8%,53.2%,0.0756,,,,,,,,,,,21.5,0.0,45.9%,54.1%,0.0756,21.5,0.0,47.6%,52.4%,0.0756,-0.03,-0.92,0.58,-10.7,10.38,1.2,1.6,0.0353,100.0%
337,Jalen Johnson,PA,33.5,UNDER,Underdog and PrizePicks,,,59.1%,6.47,,,-0.0281,0.5013,0.5119,2,4,-0.0387,0.0897,1.0,-2.2348,33.5,51.2%,105,Bovada,-115,BetMGM,NEUTRAL,32.5,-1.0,45.1%,54.9%,0.051,33.5,0.0,49.7%,50.3%,0.051,,,,,,,,,,,34.5,1.0,50.4%,49.6%,0.051,33.5,0.0,50.0%,50.0%,0.051,-0.31,-0.33,-0.67,-2.7,0.17,0.8,0.8,0.0143,100.0%
338,Tyrese Maxey,REB,3.5,UNDER,Underdog and PrizePicks,,0.89x,55.8%,6.42,,,-0.0335,0.5099,0.5065,5,6,-0.0301,0.0478,1.0,4.1326,3.5,53.6%,180,Bovada,-115,BetMGM,NEUTRAL,3.5,0.0,47.6%,52.4%,0.0177,3.5,0.0,49.3%,50.7%,0.0177,3.5,0.0,49.7%,50.3%,0.0177,3.5,0.0,48.4%,51.6%,0.0177,4.5,1.0,51.1%,48.9%,0.0177,3.5,0.0,50.0%,50.0%,0.0177,0.28,0.13,0.51,0.3,0.31,1.4,1.2,0.0084,100.0%
339,Jalen Johnson,3PA,5.5,UNDER,Underdog,,,53.9%,6.34,,,0.0,,,0,0,,-0.0007,1.0,0.2124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.38,0.88,-0.33,1.7,-2.45,0.8,0.0,0.0108,100.0%
340,DeMar DeRozan,AST,5.0,UNDER,PrizePicks,,,56.1%,6.31,,,-0.0146,,0.5254,0,6,-0.0146,0.0357,1.0,-1.5865,4.5,47.5%,130,Bovada,116,DraftKings,NEUTRAL,4.5,-0.5,46.8%,53.2%,0.0211,4.5,-0.5,49.2%,50.8%,0.0211,4.5,-0.5,46.8%,53.2%,0.0211,4.5,-0.5,47.8%,52.2%,0.0211,5.5,0.5,48.3%,51.7%,0.0211,4.5,-0.5,46.0%,54.0%,0.0211,-0.25,0.3,-3.0,1.0,-1.84,1.0,1.2,0.01,100.0%
341,CJ McCollum,PA,24.0,UNDER,PrizePicks,,,53.3%,6.26,,,0.0,,,0,0,,-0.0068,1.0,1.7944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33,0.27,0.94,1.2,-2.68,1.2,1.2,0.0111,100.0%
342,Rudy Gobert,RA,13.5,UNDER,Underdog and PrizePicks,,,58.8%,6.18,,,-0.048,0.492,0.492,1,1,-0.048,0.0961,1.0,1.9236,13.5,49.2%,-118,BetMGM,-110,BetMGM,NEUTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,13.5,0.0,50.8%,49.2%,0.0481,-0.11,0.81,0.11,2.1,-2.39,1.0,0.4,0.0367,100.0%
343,DeMar DeRozan,RA,7.5,OVER,Underdog and PrizePicks,,,55.8%,6.15,,,-0.0312,0.5115,0.5088,3,4,-0.0285,0.0463,1.0,3.0177,7.5,48.1%,140,Bovada,100,BetMGM,NEUTRAL,7.5,0.0,50.0%,50.0%,0.0178,7.5,0.0,50.4%,49.6%,0.0178,,,,,,,,,,,8.5,1.0,50.1%,49.9%,0.0178,7.5,0.0,53.0%,46.9%,0.0178,0.07,-0.27,0.08,-1.3,1.64,1.2,1.6,0.007,100.0%
344,Tobias Harris,PTS,14.0,UNDER,PrizePicks,,,57.9%,6.03,,,-0.0508,,0.4892,0,6,-0.0508,0.0898,1.0,3.534,14.5,53.5%,205,Bovada,102,BetRivers,NEUTRAL,14.5,0.5,51.8%,48.2%,0.039,14.5,0.5,50.7%,49.3%,0.039,13.5,-0.5,50.5%,49.5%,0.039,14.5,0.5,51.3%,48.7%,0.039,17.5,3.5,54.6%,45.4%,0.039,13.5,-0.5,47.6%,52.4%,0.039,-0.15,-0.08,1.5,-0.4,-0.33,1.4,1.6,0.0068,100.0%
345,Brandon Miller,FGM,6.5,OVER,PrizePicks,Goblin,,53.3%,5.98,,,0.0,,,0,0,,-0.0065,1.0,1.1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.44,-0.26,-0.06,-0.3,-0.22,1.2,1.2,0.0106,100.0%
346,Mikal Bridges,PR,16.5,UNDER,PrizePicks,,,50.8%,5.79,,,0.0029,,0.5429,0,1,0.0029,-0.0346,1.0,6.5764,15.5,47.2%,-130,FanDuel,-102,FanDuel,FAVORABLE,15.5,-1.0,45.7%,54.3%,-0.0317,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,-1.74,-0.06,-1.7,3.86,2.0,2.0,0.0037,100.0%
347,Devin Booker,RA,10.5,UNDER,Underdog and PrizePicks,,,54.8%,5.72,,,-0.0187,0.5213,0.5213,4,4,-0.0187,0.0271,1.0,1.7494,10.5,52.1%,100,Bovada,-115,BetMGM,NEUTRAL,10.5,0.0,47.2%,52.8%,0.0084,10.5,0.0,47.3%,52.7%,0.0084,,,,,,,,,,,10.5,0.0,46.9%,53.0%,0.0084,10.5,0.0,50.0%,50.0%,0.0084,-0.29,-0.68,1.17,-1.5,0.86,1.0,1.2,0.0048,100.0%
348,LaMelo Ball,REB,4.5,OVER,Underdog,,0.88x,53.0%,5.66,,,0.0042,0.5392,0.5442,5,6,-0.0008,-0.0089,1.0,1.3114,4.5,51.4%,140,Bovada,115,BetMGM,NEUTRAL,4.5,0.0,53.7%,46.3%,-0.0097,4.5,0.0,53.6%,46.4%,-0.0097,4.5,0.0,51.6%,48.4%,-0.0097,4.5,0.0,54.1%,45.9%,-0.0097,5.5,1.0,56.9%,43.1%,-0.0097,4.5,0.0,56.6%,43.4%,-0.0097,-0.29,-0.6,-0.25,-0.7,0.36,1.2,1.6,0.0044,100.0%
349,De'Aaron Fox,RA,9.5,OVER,Underdog and PrizePicks,,1.03x,59.9%,5.64,,,-0.0626,0.4774,0.4774,4,4,-0.0626,0.1213,1.0,0.8235,9.5,47.7%,102,FanDuel,-120,DraftKings,NEUTRAL,9.5,0.0,46.7%,53.3%,0.0587,9.5,0.0,48.8%,51.2%,0.0587,,,,,,,,,,,9.5,0.0,48.9%,51.1%,0.0587,9.5,0.0,46.5%,53.5%,0.0587,-0.71,-0.4,-0.33,-0.3,-0.23,1.6,1.2,0.0081,100.0%
350,Joel Embiid,SB,1.5,OVER,PrizePicks,,,53.6%,5.64,,,0.0,,,0,0,,-0.0035,1.0,-0.0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22,0.12,-0.75,0.1,-0.28,0.6,0.4,0.0182,100.0%
351,Joel Embiid,PR,33.5,OVER,Underdog and PrizePicks,,,57.3%,5.61,,,-0.0397,0.5003,0.5003,4,4,-0.0397,0.0728,1.0,0.7194,33.5,50.0%,-110,Bovada,-109,DraftKings,NEUTRAL,33.5,0.0,50.0%,50.0%,0.0331,33.5,0.0,51.2%,48.8%,0.0331,,,,,,,,,,,33.5,0.0,48.9%,51.1%,0.0331,33.5,0.0,50.0%,50.0%,0.0331,-0.24,-1.56,0.18,-5.5,4.65,1.6,1.6,0.0015,100.0%
352,Ace Bailey,PRA,25.5,OVER,PrizePicks,,,55.4%,5.45,,,-0.0519,0.4911,0.4881,3,5,-0.0489,0.063,1.0,9.4339,25.5,48.8%,110,Bovada,-104,FanDuel,NEUTRAL,24.5,-1.0,47.9%,52.1%,0.0141,25.5,0.0,49.2%,50.8%,0.0141,,,,,,25.5,0.0,48.4%,51.6%,0.0141,26.5,1.0,48.9%,51.1%,0.0141,25.5,0.0,49.7%,50.3%,0.0141,0.59,-0.9,1.44,-9.3,15.4,1.0,1.2,0.0202,100.0%
353,Joel Embiid,PA,30.5,OVER,Underdog,,,56.6%,5.35,,,-0.0344,0.5049,0.5056,3,4,-0.0351,0.0616,1.0,1.3941,30.5,49.3%,105,Bovada,-110,BetMGM,NEUTRAL,30.5,0.0,50.5%,49.5%,0.0265,30.5,0.0,50.1%,49.9%,0.0265,,,,,,,,,,,31.5,1.0,50.8%,49.2%,0.0265,30.5,0.0,50.8%,49.2%,0.0265,-0.08,-1.19,-0.16,-5.9,5.52,1.6,1.6,0.0157,100.0%
354,Shai Gilgeous-Alexander,PRA,41.5,UNDER,PrizePicks,,,54.4%,5.26,,,-0.0192,,0.5208,0,1,-0.0192,0.0231,1.0,2.6613,40.5,47.2%,-130,FanDuel,-102,FanDuel,FAVORABLE,40.5,-1.0,47.9%,52.1%,0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,-0.54,0.04,-4.3,5.15,1.0,1.2,0.0136,100.0%
355,Jalen Green,PTS,20.5,OVER,Underdog and PrizePicks,,,56.8%,5.23,,,-0.0495,0.49,0.4905,4,6,-0.05,0.0777,1.0,5.0172,20.5,45.8%,175,Bovada,-103,BetOnline.ag,NEUTRAL,20.5,0.0,48.1%,51.9%,0.0277,20.5,0.0,47.6%,52.4%,0.0277,21.5,1.0,49.7%,50.3%,0.0277,20.5,0.0,52.2%,47.8%,0.0277,23.5,3.0,48.6%,51.4%,0.0277,20.5,0.0,48.0%,52.0%,0.0277,0.54,0.45,-0.96,2.3,0.48,1.4,0.8,0.0102,100.0%
356,Joel Embiid,REB,7.0,UNDER,PrizePicks,,,55.4%,5.22,,,-0.027,,0.5131,0,6,-0.027,0.0406,1.0,2.2038,7.0,51.3%,125,Bovada,110,BetMGM,NEUTRAL,6.5,-0.5,47.2%,52.8%,0.0136,6.5,-0.5,46.1%,53.9%,0.0136,7.5,0.5,51.4%,48.6%,0.0136,7.5,0.5,50.1%,49.9%,0.0136,7.5,0.5,49.1%,50.9%,0.0136,6.5,-0.5,48.2%,51.7%,0.0136,0.26,0.41,-1.17,0.8,-0.3,1.0,1.2,0.0142,100.0%
