Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Rank Score,Result,Actual Value,Avg Edge Side,Avg Same Line Market Prob Side,Avg All Books Market Prob Side,Same Line Books,All Books,Edge,Model Alpha,Agreement,Signals,Market Consensus Line,Market Consensus Prob,Best Over Odds,Best Over Book,Best Under Odds,Best Under Book,DFS vs Market,FanDuel line,FanDuel line_delta,FanDuel over_no_vig_prob,FanDuel under_no_vig_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_no_vig_prob,DraftKings under_no_vig_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_no_vig_prob,BetRivers under_no_vig_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_no_vig_prob,BetOnline under_no_vig_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_no_vig_prob,Bovada under_no_vig_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_no_vig_prob,BetMGM under_no_vig_prob,BetMGM edge,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio
164,De'Aaron Fox,PRA,25.5,OVER,Underdog and PrizePicks,,,70.0%,19.17,,,-0.0637,0.4854,0.4763,3,6,-0.0546,0.2147,1.0,-2.4582,25.5,46.7%,120,BetRivers,-120,DraftKings,NEUTRAL,25.5,0.0,48.1%,51.8%,0.1601,25.5,0.0,48.8%,51.2%,0.1601,26.5,1.0,47.9%,52.1%,0.1601,25.5,0.0,48.7%,51.3%,0.1601,26.5,1.0,50.4%,49.5%,0.1601,24.5,-1.0,41.8%,58.2%,0.1601,-0.98,-0.31,-0.55,-1.1,-2.32,1.6,1.2,0.0171,100.0%
165,Tyrese Maxey,SB,1.5,OVER,PrizePicks,Goblin,,63.2%,19.16,,,0.0,,,0,0,,0.0925,1.0,-0.4746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.02,-1.73,-0.17,-2.3,0.95,1.8,2.0,0.0058,100.0%
166,Karl-Anthony Towns,PRA,30.5,OVER,PrizePicks,,,69.9%,18.94,,,-0.0547,0.4853,0.4853,1,1,-0.0547,0.2139,1.0,-3.1299,30.5,48.5%,-108,FanDuel,-122,FanDuel,NEUTRAL,30.5,0.0,48.5%,51.5%,0.1592,,,,,,,,,,,,,,,,,,,,,,,,,,-0.46,-0.5,-1.27,-4.7,0.4,1.8,1.6,0.0071,100.0%
167,LaMelo Ball,3PM,3.5,OVER,PrizePicks,Goblin,,61.0%,18.82,,,0.0116,0.5505,0.5516,5,6,0.0105,0.0595,1.0,1.893,3.5,51.9%,160,Bovada,118,BetRivers,NEUTRAL,3.5,0.0,56.3%,43.7%,0.0699,3.5,0.0,53.7%,46.3%,0.0699,3.5,0.0,57.4%,42.6%,0.0699,3.5,0.0,54.4%,45.6%,0.0699,4.5,1.0,55.7%,44.3%,0.0699,3.5,0.0,53.5%,46.5%,0.0699,-0.1,-0.88,-0.17,-1.3,1.15,1.6,1.6,0.0037,100.0%
168,VJ Edgecombe,PA,19.5,OVER,Underdog and PrizePicks,,,70.1%,18.81,,,-0.0622,0.4769,0.4778,3,4,-0.0631,0.2243,1.0,1.5844,19.5,48.9%,100,Bovada,-103,DraftKings,NEUTRAL,19.5,0.0,48.5%,51.5%,0.1611,18.5,-1.0,48.1%,51.9%,0.1611,,,,,,,,,,,19.5,0.0,46.9%,53.0%,0.1611,19.5,0.0,47.6%,52.4%,0.1611,-0.05,-0.94,0.23,-11.5,10.85,1.4,1.6,0.0669,100.0%
169,Paul George,REB,5.0,UNDER,PrizePicks,,,60.8%,18.79,,,0.0127,,0.5527,0,6,0.0127,0.0547,1.0,2.2938,4.5,48.5%,130,Bovada,115,BetMGM,NEUTRAL,4.5,-0.5,43.6%,56.4%,0.0675,4.5,-0.5,45.3%,54.7%,0.0675,4.5,-0.5,42.3%,57.7%,0.0675,4.5,-0.5,39.7%,60.3%,0.0675,5.5,0.5,50.9%,49.1%,0.0675,4.5,-0.5,46.5%,53.5%,0.0675,0.12,-0.0,-0.0,-0.0,0.18,1.2,0.8,0.0125,100.0%
170,Paul George,3PM,2.5,UNDER,Underdog,,0.75x,55.4%,18.5,,,0.0467,0.5951,0.5867,5,6,0.0551,-0.0409,1.0,3.4178,2.5,55.9%,142,FanDuel,145,BetRivers,NEUTRAL,2.5,0.0,38.6%,61.4%,0.0141,2.5,0.0,41.4%,58.6%,0.0141,1.5,-1.0,45.5%,54.5%,0.0141,2.5,0.0,40.2%,59.9%,0.0141,2.5,0.0,41.7%,58.3%,0.0141,2.5,0.0,40.6%,59.4%,0.0141,0.02,0.33,0.4,1.1,-1.03,1.4,1.2,0.0019,100.0%
171,Jalen Duren,AST,1.5,OVER,PrizePicks,Goblin,,63.2%,18.4,,,0.0,,,0,0,,0.0917,1.0,-1.5352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.12,-0.54,-3.0,-1.3,1.02,1.2,1.2,0.0111,100.0%
172,Victor Wembanyama,PR,36.5,UNDER,Underdog and PrizePicks,,,65.6%,17.97,,,-0.0223,0.5089,0.5177,3,4,-0.0311,0.1476,1.0,0.2481,36.5,50.7%,-108,FanDuel,-115,BetMGM,NEUTRAL,36.5,0.0,48.9%,51.1%,0.1164,36.5,0.0,49.5%,50.5%,0.1164,,,,,,,,,,,36.5,0.0,48.9%,51.1%,0.1164,35.5,-1.0,45.6%,54.4%,0.1164,-0.14,-0.2,-0.34,-1.5,0.43,0.8,1.2,0.0154,100.0%
173,Jalen Green,PR,24.5,OVER,Underdog and PrizePicks,,,63.5%,17.96,,,-0.0071,0.5107,0.533,1,2,-0.0293,0.1248,1.0,4.8577,25.0,51.1%,-120,FanDuel,-110,FanDuel,NEUTRAL,24.5,0.0,51.1%,48.9%,0.0955,,,,,,,,,,,,,,,,,,,,,25.5,1.0,55.5%,44.5%,0.0955,0.49,0.33,-1.9,2.1,1.04,1.6,1.2,0.0017,100.0%
