Rank,Player,Stat,Line,Pick,Platform,Goblin/Demon,Multiplier,Confidence,Tier,Recommendation,Rank Score,Result,Actual value,FULL_ALL Pick,FULL_ALL Confidence,FULL_ALL Rank score,FULL_ALL Result,FULL_TIGHT Pick,FULL_TIGHT Confidence,FULL_TIGHT Rank score,FULL_TIGHT Result,REDUCED_ALL Pick,REDUCED_ALL Confidence,REDUCED_ALL Rank score,REDUCED_ALL Result,REDUCED_TIGHT Pick,REDUCED_TIGHT Confidence,REDUCED_TIGHT Rank score,REDUCED_TIGHT Result,z_line,z_recent,z_matchup,line_diff,momentum,last10,last5,probability_std,Agreement ratio,FanDuel line,FanDuel line_delta,FanDuel over_hit_prob,FanDuel under_hit_prob,FanDuel edge,DraftKings line,DraftKings line_delta,DraftKings over_hit_prob,DraftKings under_hit_prob,DraftKings edge,BetRivers line,BetRivers line_delta,BetRivers over_hit_prob,BetRivers under_hit_prob,BetRivers edge,BetOnline line,BetOnline line_delta,BetOnline over_hit_prob,BetOnline under_hit_prob,BetOnline edge,Bovada line,Bovada line_delta,Bovada over_hit_prob,Bovada under_hit_prob,Bovada edge,BetMGM line,BetMGM line_delta,BetMGM over_hit_prob,BetMGM under_hit_prob,BetMGM edge
877,Myles Turner,3PA,4.5,OVER,PrizePicks,Goblin,,53.4%,B,DO NOT BET,34.07,NO GAME,,OVER,55.0%,34.94,NO GAME,OVER,54.0%,34.37,NO GAME,OVER,52.8%,33.71,NO GAME,OVER,51.9%,33.24,NO GAME,-0.64,0.35,-0.81,0.5,-1.41,1.0,0.8,0.0117,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,VJ Edgecombe,3PA,6.5,UNDER,Underdog,,,52.2%,B,DO NOT BET,34.06,✅ HIT,5.0,UNDER,50.5%,33.11,✅ HIT,UNDER,51.0%,33.43,✅ HIT,UNDER,53.4%,34.73,✅ HIT,UNDER,53.8%,34.96,✅ HIT,-0.17,0.07,-1.25,0.3,-1.05,1.4,1.2,0.0145,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
879,Nikola Jokić,3PM,1.5,OVER,Underdog and PrizePicks,Goblin,0.87x,51.0%,S,DO NOT BET,34.05,❌ MISS,1.0,OVER,52.1%,35.42,❌ MISS,OVER,51.8%,35.08,❌ MISS,OVER,50.1%,33.06,❌ MISS,UNDER,50.2%,12.7,✅ HIT,-0.32,0.56,-0.39,0.5,-0.79,1.0,0.8,0.0101,75.0%,1.5,0.0,53.7%,46.3%,-0.0179,1.5,0.0,53.8%,46.2%,-0.0187,1.5,0.0,51.9%,48.1%,-0.0059,1.5,0.0,54.0%,46.0%,-0.0195,1.5,0.0,54.1%,45.9%,-0.0203,1.5,0.0,55.4%,44.6%,-0.0289
880,Deandre Ayton,PR,20.5,UNDER,PrizePicks,,,51.8%,D,DO NOT BET,34.05,NO GAME,,OVER,53.5%,15.24,NO GAME,OVER,53.3%,15.06,NO GAME,UNDER,57.1%,40.4,NO GAME,UNDER,57.0%,40.24,NO GAME,0.05,-0.47,0.18,-2.1,2.31,1.2,1.2,0.0522,50.0%,20.5,0.0,51.1%,48.9%,0.0188,20.5,0.0,48.9%,51.1%,0.0049,,,,,,,,,,,20.5,0.0,48.9%,51.1%,0.0049,20.5,0.0,50.8%,49.2%,0.0171
881,Deni Avdija,TOV,3.5,UNDER,Underdog,,0.80x,50.5%,A,DO NOT BET,34.03,❌ MISS,4.0,OVER,53.2%,31.29,✅ HIT,OVER,52.8%,31.07,✅ HIT,UNDER,53.9%,35.88,❌ MISS,UNDER,54.0%,35.97,❌ MISS,0.46,0.4,1.1,0.3,0.04,1.0,0.8,0.0345,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Collin Sexton,3PA,5.5,UNDER,Underdog,,0.82x,55.9%,B,DO NOT BET,34.0,✅ HIT,4.0,UNDER,56.0%,34.03,✅ HIT,UNDER,56.1%,34.1,✅ HIT,UNDER,55.7%,33.86,✅ HIT,UNDER,55.9%,34.0,✅ HIT,-0.57,0.11,-1.33,0.3,-1.85,0.8,0.8,0.0016,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Dyson Daniels,STL,1.5,OVER,Underdog and PrizePicks,Goblin,0.79x,52.9%,A,DO NOT BET,33.98,✅ HIT,2.0,OVER,55.5%,35.4,✅ HIT,OVER,55.0%,35.14,✅ HIT,OVER,50.8%,32.79,✅ HIT,OVER,50.4%,32.59,✅ HIT,-0.39,-0.46,-1.22,-0.5,0.07,1.4,1.2,0.0236,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Paul George,PRA,27.5,UNDER,Underdog and PrizePicks,,1.02x,70.7%,D,STRONG BET,33.94,❌ MISS,38.0,UNDER,72.9%,36.83,❌ MISS,UNDER,72.3%,36.12,❌ MISS,UNDER,68.9%,31.59,❌ MISS,UNDER,68.5%,31.21,❌ MISS,-0.3,-0.31,-0.84,-2.7,0.01,1.4,1.6,0.0197,100.0%,28.5,1.0,48.0%,52.0%,0.1215,28.5,1.0,50.2%,49.8%,0.1354,28.5,1.0,45.9%,54.1%,0.1077,27.5,0.0,52.2%,47.8%,0.1489,30.5,3.0,32.4%,67.6%,0.0201,27.5,0.0,49.2%,50.8%,0.129
885,Alperen Sengun,PRA,34.5,OVER,Underdog and PrizePicks,,,54.2%,D,DO NOT BET,33.91,✅ HIT,39.0,OVER,56.7%,35.26,✅ HIT,OVER,56.7%,35.25,✅ HIT,OVER,51.6%,32.48,✅ HIT,OVER,51.9%,32.65,✅ HIT,-0.08,-0.11,-1.04,-1.5,0.45,0.8,0.8,0.0245,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Tobias Harris,PA,17.0,UNDER,PrizePicks,,,53.8%,D,DO NOT BET,33.91,❌ MISS,25.0,UNDER,53.2%,33.58,❌ MISS,UNDER,52.8%,33.38,❌ MISS,UNDER,54.8%,34.48,❌ MISS,UNDER,54.3%,34.22,❌ MISS,-0.42,0.28,-0.39,1.0,-2.46,1.0,0.4,0.0081,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Ausar Thompson,PRA,19.5,UNDER,PrizePicks,,,53.5%,D,DO NOT BET,33.9,❌ MISS,27.0,UNDER,53.3%,33.79,❌ MISS,UNDER,53.1%,33.66,❌ MISS,UNDER,54.0%,34.16,❌ MISS,UNDER,53.6%,33.98,❌ MISS,-0.19,-1.06,-0.98,-4.7,3.85,1.0,1.6,0.0034,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,Jalen Johnson,TOV,3.5,UNDER,Underdog and PrizePicks,,,51.6%,A,DO NOT BET,33.88,❌ MISS,5.0,UNDER,53.0%,34.68,❌ MISS,UNDER,53.2%,34.79,❌ MISS,OVER,50.1%,33.25,✅ HIT,UNDER,50.2%,33.11,❌ MISS,-0.17,-0.12,0.35,-0.1,-0.03,1.2,0.8,0.0156,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Norman Powell,3PM,2.5,OVER,Underdog,,1.06x,51.0%,S,DO NOT BET,33.87,✅ HIT,3.0,OVER,50.3%,33.51,✅ HIT,OVER,50.0%,33.36,✅ HIT,OVER,52.0%,34.42,✅ HIT,OVER,51.6%,34.21,✅ HIT,-0.21,0.75,-0.76,0.9,-1.15,1.0,0.4,0.0081,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,Jonathan Kuminga,PRA,19.5,UNDER,PrizePicks,,,52.6%,D,DO NOT BET,33.86,✅ HIT,14.0,UNDER,63.4%,39.8,✅ HIT,UNDER,63.0%,39.55,✅ HIT,OVER,57.8%,33.76,❌ MISS,OVER,58.1%,33.92,❌ MISS,0.26,-0.4,-0.0,-2.5,4.11,0.8,1.2,0.1057,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Jalen Johnson,REB,9.0,OVER,PrizePicks,,,54.0%,B,DO NOT BET,33.86,❌ MISS,8.0,OVER,54.4%,34.1,❌ MISS,OVER,55.1%,34.47,❌ MISS,OVER,52.9%,33.26,❌ MISS,OVER,53.5%,33.59,❌ MISS,-0.42,-0.31,-0.65,-1.0,-0.37,0.8,1.2,0.0084,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Dyson Daniels,FGA,9.5,OVER,PrizePicks,,,53.0%,D,DO NOT BET,33.82,✅ HIT,14.0,OVER,54.4%,34.57,✅ HIT,OVER,53.0%,33.78,✅ HIT,OVER,52.9%,33.76,✅ HIT,OVER,51.9%,33.18,✅ HIT,-0.17,-0.22,-0.99,-0.9,0.21,1.0,0.8,0.009,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Jalen Johnson,PA,29.5,UNDER,PrizePicks,,,51.5%,D,DO NOT BET,33.8,❌ MISS,39.0,UNDER,55.6%,36.05,❌ MISS,UNDER,55.3%,35.87,❌ MISS,OVER,52.2%,31.44,✅ HIT,OVER,52.7%,31.71,✅ HIT,0.18,-0.07,0.17,-0.5,1.78,1.0,0.8,0.0394,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Onyeka Okongwu,RA,10.0,UNDER,PrizePicks,,,51.4%,C,DO NOT BET,33.79,✅ HIT,3.0,UNDER,53.2%,34.8,✅ HIT,UNDER,52.7%,34.5,✅ HIT,OVER,50.1%,30.75,❌ MISS,OVER,50.1%,30.74,❌ MISS,0.49,0.2,-0.3,0.4,0.57,1.0,0.8,0.0156,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,Rudy Gobert,PTS,11.5,UNDER,Underdog,,1.03x,51.1%,D,DO NOT BET,33.79,❌ MISS,14.0,UNDER,51.4%,33.96,❌ MISS,UNDER,51.7%,34.16,❌ MISS,UNDER,50.3%,33.38,❌ MISS,UNDER,50.8%,33.67,❌ MISS,-0.07,0.04,-0.91,0.3,-0.8,1.0,1.2,0.0054,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,Nikola Jokić,PRA,51.5,OVER,Underdog and PrizePicks,,,50.9%,D,DO NOT BET,33.78,✅ HIT,63.0,UNDER,50.5%,31.59,❌ MISS,UNDER,50.3%,31.39,❌ MISS,OVER,52.1%,35.14,✅ HIT,OVER,52.5%,35.51,✅ HIT,0.02,0.6,0.35,6.1,-5.86,1.0,0.8,0.0137,50.0%,50.5,-1.0,50.4%,49.6%,0.0036,51.5,0.0,50.3%,49.7%,0.0044,50.5,-1.0,52.3%,47.7%,-0.0086,51.5,0.0,49.7%,50.3%,0.0078,53.5,2.0,46.7%,53.3%,0.0278,52.5,1.0,54.1%,45.9%,-0.0204
897,Josh Giddey,REB,8.0,UNDER,PrizePicks,,,50.9%,B,DO NOT BET,33.76,❌ MISS,9.0,UNDER,50.6%,33.37,❌ MISS,OVER,50.3%,25.36,✅ HIT,UNDER,52.0%,35.18,❌ MISS,UNDER,51.2%,34.19,❌ MISS,0.06,-0.04,0.93,-0.2,0.51,0.8,1.2,0.0085,75.0%,8.5,0.5,45.7%,54.3%,-0.0223,7.5,-0.5,46.3%,53.7%,-0.018,8.5,0.5,47.0%,53.0%,-0.0138,8.5,0.5,45.8%,54.2%,-0.0212,9.5,1.5,41.8%,58.2%,-0.0476,8.5,0.5,47.4%,52.6%,-0.0113
898,James Harden,PTS,21.5,OVER,Underdog,,0.87x,55.5%,D,DO NOT BET,33.71,❌ MISS,18.0,OVER,53.2%,32.44,❌ MISS,OVER,52.7%,32.15,❌ MISS,OVER,58.5%,35.37,❌ MISS,OVER,57.6%,34.9,❌ MISS,-0.35,-0.38,-0.15,-2.9,0.22,0.8,1.2,0.026,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Nikola Jokić,RA,23.0,OVER,PrizePicks,,,57.0%,C,DO NOT BET,33.7,✅ HIT,40.0,OVER,58.2%,35.17,✅ HIT,OVER,57.5%,34.29,✅ HIT,OVER,56.5%,33.15,✅ HIT,OVER,55.7%,32.18,✅ HIT,-0.06,-0.27,-0.73,-1.6,1.25,1.2,0.8,0.0095,100.0%,22.5,-0.5,49.1%,50.8%,0.051,23.5,0.5,47.7%,52.3%,0.0602,,,,,,,,,,,23.5,0.5,48.0%,52.0%,0.0585,23.5,0.5,50.0%,50.0%,0.0455
900,Amen Thompson,FTM,3.5,UNDER,Underdog,,0.86x,51.8%,B,DO NOT BET,33.68,✅ HIT,3.0,OVER,51.0%,33.93,❌ MISS,UNDER,50.3%,32.88,✅ HIT,UNDER,53.5%,34.6,✅ HIT,UNDER,54.4%,35.12,✅ HIT,0.2,0.48,-0.71,0.7,-0.4,0.6,0.8,0.0222,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,P.J. Washington,3PA,4.5,UNDER,Underdog,,1.05x,58.1%,B,DO NOT BET,33.66,❌ MISS,5.0,UNDER,59.3%,34.3,❌ MISS,UNDER,59.1%,34.22,❌ MISS,UNDER,56.9%,33.01,❌ MISS,UNDER,57.1%,33.1,❌ MISS,-0.14,0.47,-5.2,1.1,-1.43,1.2,0.8,0.0109,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Bam Adebayo,PR,31.5,UNDER,Underdog and PrizePicks,,,52.3%,D,DO NOT BET,33.6,✅ HIT,27.0,UNDER,52.7%,33.82,✅ HIT,UNDER,52.7%,33.78,✅ HIT,UNDER,52.0%,33.43,✅ HIT,UNDER,51.9%,33.35,✅ HIT,-0.12,0.19,-0.84,2.1,-3.47,0.8,1.2,0.0038,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Rudy Gobert,PR,24.0,UNDER,PrizePicks,,,54.0%,D,DO NOT BET,33.58,❌ MISS,28.0,UNDER,56.3%,34.83,❌ MISS,UNDER,56.1%,34.73,❌ MISS,UNDER,51.9%,32.43,❌ MISS,UNDER,51.8%,32.35,❌ MISS,-0.17,0.13,-1.14,1.2,-2.74,1.0,0.8,0.0218,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Brandin Podziemski,TOV,1.5,OVER,PrizePicks,Goblin,,50.5%,A,DO NOT BET,33.58,✅ HIT,3.0,OVER,54.5%,35.78,✅ HIT,OVER,54.1%,35.53,✅ HIT,UNDER,53.1%,31.69,❌ MISS,UNDER,53.3%,31.8,❌ MISS,-0.15,-0.94,1.86,-0.7,0.59,1.4,1.6,0.0378,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Josh Giddey,3PA,6.5,UNDER,Underdog,,1.09x,55.6%,B,DO NOT BET,33.51,✅ HIT,6.0,UNDER,55.8%,33.65,✅ HIT,UNDER,56.0%,33.73,✅ HIT,UNDER,55.1%,33.25,✅ HIT,UNDER,55.4%,33.41,✅ HIT,-0.54,0.4,-2.06,0.9,-2.11,0.6,0.8,0.0035,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Jonathan Kuminga,REB,5.0,OVER,PrizePicks,,,52.9%,B,DO NOT BET,33.51,❌ MISS,5.0,OVER,53.1%,33.63,❌ MISS,OVER,53.8%,34.03,❌ MISS,OVER,52.0%,33.02,❌ MISS,OVER,52.6%,33.37,❌ MISS,-0.57,-0.62,0.0,-1.2,0.09,1.0,0.8,0.0067,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Derrick White,RA,9.0,OVER,PrizePicks,,,52.5%,C,DO NOT BET,33.48,❌ MISS,8.0,OVER,52.5%,33.41,❌ MISS,OVER,52.4%,33.51,❌ MISS,OVER,52.6%,33.58,❌ MISS,OVER,52.3%,33.42,❌ MISS,-0.69,0.4,-0.3,0.6,-1.63,0.8,0.4,0.0012,100.0%,9.5,0.5,53.9%,46.1%,-0.0091,,,,,,,,,,,,,,,,,,,,,,,,,
908,Payton Pritchard,AST,4.5,OVER,PrizePicks,,,52.9%,C,DO NOT BET,33.44,❌ MISS,1.0,OVER,51.5%,31.66,❌ MISS,OVER,50.8%,30.71,❌ MISS,OVER,55.2%,36.43,❌ MISS,OVER,54.1%,34.94,❌ MISS,-0.49,-0.06,1.33,-0.1,-0.69,1.0,0.8,0.0179,100.0%,5.5,1.0,34.6%,65.4%,0.1189,,,,,,,,,,,,,,,,,,,,,,,,,
909,Deni Avdija,AST,6.5,UNDER,Underdog,,0.87x,51.9%,C,DO NOT BET,33.43,❌ MISS,7.0,UNDER,54.9%,37.05,❌ MISS,UNDER,54.9%,37.12,❌ MISS,OVER,51.6%,12.97,✅ HIT,OVER,50.8%,12.04,✅ HIT,0.05,-0.07,-1.7,-0.3,0.48,1.0,1.6,0.0306,50.0%,6.5,0.0,46.8%,53.2%,-0.0086,6.5,0.0,46.8%,53.2%,-0.0086,6.5,0.0,46.1%,53.9%,-0.013,6.5,0.0,45.4%,54.6%,-0.0179,6.5,0.0,41.7%,58.3%,-0.0418,6.5,0.0,46.5%,53.5%,-0.0105
910,Immanuel Quickley,AST,5.5,OVER,Underdog,,0.83x,50.4%,C,DO NOT BET,33.42,NO GAME,,UNDER,53.0%,12.93,NO GAME,UNDER,53.2%,13.19,NO GAME,OVER,54.4%,38.15,NO GAME,OVER,53.4%,36.95,NO GAME,-0.16,0.22,0.25,0.7,-1.2,1.4,1.2,0.0351,50.0%,5.5,0.0,51.9%,48.1%,-0.0095,5.5,0.0,56.0%,44.0%,-0.0367,5.5,0.0,53.3%,46.7%,-0.019,5.5,0.0,54.4%,45.6%,-0.0257,6.5,1.0,46.5%,53.5%,0.0257,5.5,0.0,53.5%,46.5%,-0.02
911,Scottie Barnes,REB,6.5,OVER,Underdog and PrizePicks,,,52.6%,B,DO NOT BET,33.4,✅ HIT,8.0,OVER,53.1%,33.96,✅ HIT,OVER,53.8%,34.83,✅ HIT,OVER,51.5%,32.0,✅ HIT,OVER,52.2%,32.81,✅ HIT,-0.8,-0.55,-3.0,-0.9,-0.4,0.8,1.6,0.0089,100.0%,6.5,0.0,53.2%,46.8%,-0.0035,6.5,0.0,52.3%,47.7%,0.0025,6.5,0.0,52.1%,47.9%,0.0032,6.5,0.0,51.9%,48.1%,0.0051,7.5,1.0,39.8%,60.2%,0.0835,6.5,0.0,52.0%,48.0%,0.0042
912,Jaime Jaquez Jr.,PTS,10.5,OVER,Underdog,,,57.4%,D,DO NOT BET,33.4,✅ HIT,14.0,OVER,57.6%,33.51,✅ HIT,OVER,56.9%,33.14,✅ HIT,OVER,57.9%,33.69,✅ HIT,OVER,57.1%,33.23,✅ HIT,-0.68,0.17,0.15,1.1,-5.46,1.2,0.4,0.004,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,Alperen Sengun,RA,14.5,UNDER,Underdog,,1.03x,50.4%,C,DO NOT BET,33.34,✅ HIT,9.0,OVER,51.5%,31.35,❌ MISS,OVER,51.6%,31.35,❌ MISS,UNDER,52.5%,34.51,✅ HIT,UNDER,52.2%,34.34,✅ HIT,0.11,0.12,0.6,0.7,-0.02,1.0,0.8,0.0198,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,P.J. Washington,FTM,1.5,OVER,PrizePicks,Goblin,,53.4%,B,DO NOT BET,33.33,✅ HIT,2.0,OVER,55.4%,34.44,✅ HIT,OVER,53.5%,33.42,✅ HIT,OVER,53.1%,33.21,✅ HIT,OVER,51.4%,32.26,✅ HIT,-0.32,-0.43,-0.91,-1.1,0.28,0.8,0.8,0.0141,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,Onyeka Okongwu,PTS,12.5,OVER,Underdog and PrizePicks,,0.88x,57.6%,D,DO NOT BET,33.3,❌ MISS,11.0,OVER,58.2%,33.62,❌ MISS,OVER,57.5%,33.24,❌ MISS,OVER,57.8%,33.39,❌ MISS,OVER,57.0%,32.93,❌ MISS,-0.69,0.35,-1.83,1.5,-4.47,1.0,0.8,0.0045,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,CJ McCollum,PR,20.5,OVER,Underdog and PrizePicks,,,52.6%,D,DO NOT BET,33.28,✅ HIT,28.0,OVER,53.0%,33.53,✅ HIT,OVER,52.9%,33.45,✅ HIT,OVER,52.1%,33.04,✅ HIT,OVER,52.3%,33.12,✅ HIT,-0.29,0.13,-0.52,0.7,-2.21,0.8,0.8,0.0038,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,Paul George,AST,4.5,UNDER,Underdog,,1.04x,74.8%,C,STRONG BET,33.24,✅ HIT,4.0,UNDER,75.8%,34.39,✅ HIT,UNDER,74.2%,32.76,✅ HIT,UNDER,75.3%,33.65,✅ HIT,UNDER,73.9%,32.19,✅ HIT,-0.68,-0.26,-1.33,-0.3,-0.5,1.0,0.8,0.008,100.0%,4.5,0.0,56.5%,43.5%,0.2038,4.5,0.0,57.2%,42.8%,0.2079,4.5,0.0,56.7%,43.3%,0.205,4.5,0.0,56.7%,43.3%,0.2045,5.5,1.0,15.7%,84.3%,-0.0615,5.5,1.0,18.3%,81.7%,-0.0447
918,Klay Thompson,PA,12.5,OVER,PrizePicks,,,52.3%,D,DO NOT BET,33.24,❌ MISS,8.0,UNDER,50.3%,34.18,✅ HIT,OVER,50.1%,32.05,❌ MISS,OVER,54.4%,34.38,❌ MISS,OVER,54.9%,34.66,❌ MISS,-0.15,-0.58,-0.33,-2.9,2.14,1.2,1.6,0.0235,75.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Alex Caruso,PTS,4.5,OVER,PrizePicks,Goblin,,56.2%,D,DO NOT BET,33.22,✅ HIT,9.0,OVER,55.8%,32.99,✅ HIT,OVER,55.2%,32.65,✅ HIT,OVER,57.4%,33.85,✅ HIT,OVER,56.5%,33.4,✅ HIT,-0.31,-0.15,-1.5,-0.9,-0.95,0.8,0.4,0.0082,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,Norman Powell,PR,23.5,OVER,Underdog and PrizePicks,,0.89x,53.9%,D,DO NOT BET,33.16,❌ MISS,23.0,OVER,50.8%,31.43,❌ MISS,OVER,50.7%,31.4,❌ MISS,OVER,57.0%,34.87,❌ MISS,OVER,57.2%,34.94,❌ MISS,-0.35,0.6,-0.45,4.1,-6.49,1.0,0.4,0.0317,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,Ausar Thompson,SB,2.5,UNDER,Underdog,,,50.2%,A,DO NOT BET,33.09,❌ MISS,5.0,UNDER,55.1%,35.8,❌ MISS,UNDER,55.4%,35.96,❌ MISS,OVER,55.2%,32.87,✅ HIT,OVER,54.5%,32.5,✅ HIT,0.11,0.19,0.9,0.5,-0.21,0.8,1.2,0.0508,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,Jaime Jaquez Jr.,RA,8.5,OVER,Underdog,,1.03x,51.0%,C,DO NOT BET,33.04,❌ MISS,7.0,OVER,51.5%,33.28,❌ MISS,OVER,51.5%,33.29,❌ MISS,OVER,50.6%,32.81,❌ MISS,OVER,50.5%,32.77,❌ MISS,-0.55,-0.52,0.07,-1.3,-0.08,1.2,1.2,0.0045,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,Stephon Castle,REB,5.0,UNDER,PrizePicks,,,51.6%,B,DO NOT BET,33.01,✅ HIT,3.0,UNDER,51.0%,32.48,✅ HIT,UNDER,50.1%,31.4,✅ HIT,UNDER,53.0%,34.59,✅ HIT,UNDER,52.1%,33.56,✅ HIT,0.02,0.5,0.13,1.6,-1.53,0.8,0.4,0.0109,100.0%,5.5,0.5,42.5%,57.5%,-0.0386,5.5,0.5,44.3%,55.7%,-0.0268,5.5,0.5,45.3%,54.7%,-0.0203,5.5,0.5,43.8%,56.2%,-0.03,6.5,1.5,31.1%,68.9%,-0.1126,5.5,0.5,45.2%,54.8%,-0.021
924,Scottie Barnes,PA,22.5,OVER,Underdog and PrizePicks,,,52.4%,D,DO NOT BET,32.96,❌ MISS,21.0,OVER,55.7%,36.91,❌ MISS,OVER,56.1%,37.38,❌ MISS,UNDER,51.4%,14.69,✅ HIT,UNDER,50.9%,14.11,✅ HIT,-0.48,-0.41,-0.25,-1.3,-0.23,0.8,1.2,0.0354,50.0%,22.5,0.0,50.5%,49.5%,0.0121,22.5,0.0,50.4%,49.6%,0.0129,,,,,,,,,,,23.5,1.0,43.2%,56.8%,0.0598,23.5,1.0,47.1%,52.9%,0.0343
925,Quentin Grimes,FTM,3.5,UNDER,Underdog,,0.78x,53.9%,B,DO NOT BET,32.95,✅ HIT,2.0,UNDER,55.0%,33.55,✅ HIT,UNDER,55.7%,33.94,✅ HIT,UNDER,51.9%,31.84,✅ HIT,UNDER,53.0%,32.46,✅ HIT,-0.26,0.68,-2.5,1.7,-2.35,0.8,0.4,0.0152,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Nikola Jokić,FGA,17.5,OVER,Underdog,,,51.2%,D,DO NOT BET,32.9,✅ HIT,19.0,OVER,56.7%,35.94,✅ HIT,OVER,54.9%,34.94,✅ HIT,UNDER,53.4%,32.67,❌ MISS,UNDER,53.5%,32.75,❌ MISS,0.03,0.63,0.15,2.7,-2.59,1.0,0.8,0.0467,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Kyle Kuzma,FTM,1.5,OVER,PrizePicks,Goblin,,52.1%,B,DO NOT BET,32.9,NO GAME,,OVER,53.2%,33.51,NO GAME,OVER,51.6%,32.62,NO GAME,OVER,52.6%,33.21,NO GAME,OVER,51.0%,32.29,NO GAME,-0.27,-0.15,-1.5,-0.3,-0.23,1.0,0.8,0.0087,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Naz Reid,AST,1.5,OVER,PrizePicks,Goblin,,53.0%,C,DO NOT BET,32.89,❌ MISS,1.0,OVER,52.3%,32.52,❌ MISS,OVER,51.6%,32.12,❌ MISS,OVER,54.6%,33.76,❌ MISS,OVER,53.5%,33.18,❌ MISS,-0.37,-0.13,-1.22,-0.3,-0.52,0.6,0.8,0.0114,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Norman Powell,PRA,26.5,OVER,Underdog and PrizePicks,,,52.5%,D,DO NOT BET,32.88,❌ MISS,25.0,OVER,50.6%,31.85,❌ MISS,OVER,50.8%,31.92,❌ MISS,OVER,54.2%,33.79,❌ MISS,OVER,54.5%,33.96,❌ MISS,-0.28,0.64,-0.41,4.5,-6.47,0.8,0.4,0.0182,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Jerami Grant,PTS,17.5,OVER,PrizePicks,,,50.9%,D,DO NOT BET,32.84,✅ HIT,18.0,OVER,53.4%,35.76,✅ HIT,OVER,52.8%,35.14,✅ HIT,UNDER,51.1%,13.01,❌ MISS,UNDER,51.6%,13.6,❌ MISS,-0.16,0.36,-0.15,2.5,-3.6,1.2,0.8,0.0223,50.0%,17.5,0.0,48.5%,51.5%,0.0154,17.5,0.0,50.3%,49.7%,0.0041,17.5,0.0,49.3%,50.7%,0.0102,17.5,0.0,50.0%,50.0%,0.0058,21.5,4.0,34.5%,65.5%,0.1068,17.5,0.0,52.0%,48.0%,-0.0072
931,Collin Sexton,FTA,3.5,UNDER,PrizePicks,,,50.8%,C,DO NOT BET,32.83,❌ MISS,6.0,OVER,52.2%,32.38,✅ HIT,OVER,50.6%,31.48,✅ HIT,UNDER,52.4%,33.71,❌ MISS,UNDER,53.7%,34.39,❌ MISS,0.07,0.99,-0.05,2.9,-2.7,1.0,0.4,0.0234,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
