stat,feature_mode,calibration_set,bt_tight_rows,0.50-0.55_n,0.50-0.55_acc,0.50-0.55_avg_conf,0.55-0.60_n,0.55-0.60_acc,0.55-0.60_avg_conf,0.60-0.65_n,0.60-0.65_acc,0.60-0.65_avg_conf,0.65-0.70_n,0.65-0.70_acc,0.65-0.70_avg_conf,0.70-0.80_n,0.70-0.80_acc,0.70-0.80_avg_conf,0.80-0.90_n,0.80-0.90_acc,0.80-0.90_avg_conf,0.90-1.00_n,0.90-1.00_acc,0.90-1.00_avg_conf,p99_conf,max_conf
PRA,full,ALL,13842,4843,0.5205451166632252,0.5245995374738944,4026,0.5844510680576255,0.5740157123340263,2803,0.6503745986443097,0.6229266783362514,1529,0.6886854153041203,0.6717769620085128,634,0.7208201892744479,0.7263305800661652,7,1.0,0.8120050986733441,0,,,0.7403742822376443,0.8243259627535136
PRA,full,TIGHT,13842,4966,0.5195328231977446,0.5246199042165327,4057,0.5891052501848657,0.5738306719643609,2803,0.6514448804851944,0.6225641352830262,1459,0.6888279643591501,0.6714150033194856,552,0.7228260869565217,0.7250737952419658,5,1.0,0.8092545454779838,0,,,0.735546607560008,0.8179686516168966
PRA,reduced,ALL,13842,4926,0.5345107592367032,0.5246214144498602,4003,0.5945540844366725,0.5739886583200006,2860,0.6367132867132868,0.6231783689275281,1516,0.6629287598944591,0.6710039410970281,537,0.6908752327746741,0.727121244560735,0,,,0,,,0.7393966296762848,0.7994638231414657
PRA,reduced,TIGHT,13842,4944,0.5345873786407767,0.5245689424024662,4037,0.5935100322021303,0.573854049985734,2871,0.6353187042842215,0.623286369292016,1469,0.6671204901293397,0.6710877034065196,521,0.6833013435700576,0.7264596100429699,0,,,0,,,0.7370338078166591,0.7967971410777301
PA,full,ALL,12800,4225,0.5254437869822485,0.5248972043097085,3723,0.5831318828901424,0.5738788246446591,2691,0.6272761055369751,0.622976878162509,1489,0.6984553391537945,0.6716042528515164,668,0.7245508982035929,0.7265020069123544,4,1.0,0.8096897274666913,0,,,0.744679164314048,0.8213316328302898
PA,full,TIGHT,12800,4227,0.5235391530636385,0.5248370752073342,3725,0.5812080536912752,0.574103269401989,2698,0.6282431430689399,0.6232241107632185,1491,0.6995305164319249,0.671975603156197,656,0.7240853658536586,0.7266870012427828,3,1.0,0.811809548700019,0,,,0.7442072223929034,0.8203136912774618
PA,reduced,ALL,12800,4313,0.535590076512868,0.524848542133312,3787,0.5819910219170847,0.5742660127069877,2632,0.6253799392097265,0.6233206751596284,1402,0.6761768901569187,0.6718357383328547,664,0.7183734939759037,0.7274448183724417,2,1.0,0.8112593105758572,0,,,0.7469556502245918,0.8138792977879634
PA,reduced,TIGHT,12800,4317,0.5281445448227936,0.5249022184364209,3757,0.5839765770561618,0.5741435382758031,2673,0.6270108492330715,0.6231106739066455,1410,0.673049645390071,0.6720407622939377,641,0.7098283931357254,0.7273339183624306,2,1.0,0.8091174658866773,0,,,0.744760531475134,0.811770377464991
PR,full,ALL,13225,4420,0.5323529411764706,0.5245762687107705,3817,0.5920880272465286,0.5736626916579605,2762,0.6426502534395365,0.6232841753767262,1502,0.6677762982689747,0.6720192774654988,713,0.6816269284712483,0.7284928757899443,11,1.0,0.8199834289447309,0,,,0.749912332728439,0.8447816917466742
PR,full,TIGHT,13225,4595,0.5338411316648531,0.5247239398634216,3861,0.5946645946645946,0.5737785788790724,2725,0.6436697247706422,0.6229098959503956,1424,0.672752808988764,0.6713971441225716,612,0.6911764705882353,0.7265888278407739,8,1.0,0.8181893130667255,0,,,0.7430184266981827,0.8372577634030343
PR,reduced,ALL,13225,4600,0.5382608695652173,0.5244603668781762,3778,0.5878771836950768,0.5738791815866282,2777,0.6445804825351098,0.6225254480509386,1462,0.640218878248974,0.6709935376009318,599,0.679465776293823,0.7289338101439395,9,1.0,0.8148901144781793,0,,,0.7467395080217022,0.8375406028287239
PR,reduced,TIGHT,13225,4619,0.5377787399870102,0.5245058814170189,3781,0.5866172970113727,0.573956435797592,2778,0.6447084233261339,0.6226281918027102,1455,0.6405498281786941,0.671160941350606,583,0.6758147512864494,0.7290293649341796,9,1.0,0.8140459449133409,0,,,0.746033852869399,0.8367745077524013
RA,full,ALL,10865,2957,0.5160635779506256,0.5252507003998932,2767,0.5666787134080231,0.5744204400741559,2312,0.6228373702422145,0.6237910358459722,1688,0.6729857819905213,0.6734969406406847,1141,0.7318141980718668,0.7279356679086851,0,,,0,,,0.7572588144581937,0.7976463191740235
RA,full,TIGHT,10865,3314,0.5184067592033796,0.5250074064376963,3052,0.5727391874180865,0.5741642949922149,2376,0.6430976430976431,0.6236242211950122,1532,0.6886422976501305,0.6728846224535097,591,0.7428087986463621,0.7190575470617282,0,,,0,,,0.7317742975090025,0.770572076063089
RA,reduced,ALL,10865,2969,0.530481643651061,0.5252914993468766,2718,0.5629139072847682,0.5744868243723329,2311,0.6187797490263955,0.6239562671718285,1698,0.6678445229681979,0.673369177582599,1166,0.7178387650085764,0.729713947074405,3,1.0,0.8050598278653264,0,,,0.7616983756461893,0.808800450806067
RA,reduced,TIGHT,10865,3381,0.5344572611653357,0.525176829595017,2975,0.5700840336134454,0.5743024283069572,2412,0.6397180762852405,0.6236291085868765,1484,0.6853099730458221,0.6727215148203329,613,0.7259380097879282,0.7200557349937198,0,,,0,,,0.734507672384269,0.7795525283975174
SB,full,ALL,6426,862,0.5127610208816705,0.5242049720950829,911,0.5861690450054885,0.5745650592307758,961,0.619146722164412,0.625253908395661,969,0.6635706914344686,0.6748128797047055,1790,0.7312849162011174,0.7484113401373479,933,0.8210075026795284,0.8328742424025268,0,,,0.8658237190957112,0.8927021505253073
SB,full,TIGHT,6426,890,0.5359550561797752,0.5243767113326404,925,0.5805405405405405,0.5748413229231271,1001,0.6243756243756243,0.6251413515508738,999,0.6586586586586587,0.6751295983330287,1749,0.7392795883361921,0.7480557425787416,862,0.8248259860788864,0.8290783124728207,0,,,0.8593089079781322,0.8862943241288055
SB,reduced,ALL,6426,832,0.5336538461538461,0.5244874236186957,901,0.6048834628190899,0.5750643968521771,924,0.6060606060606061,0.6258739730600688,971,0.6488156539649845,0.6750460061510761,1880,0.7329787234042553,0.7483782732633361,918,0.8159041394335512,0.8319494996517611,0,,,0.8649718376981619,0.8883360793087064
