source_file,Rank,rerank_position,Player,Stat,Pick,Confidence,Recommendation,Tier,Result,Rank Score,historical_rerank_score,hybrid_rerank_score,stat_component,tier_component,rec_component,player_component,agreement_component,stability_component
AI Picks by Srini underdog - March 10 2026.csv,487,2045,Brandin Podziemski,PR,UNDER,59.10%,DO NOT BET,D,✅ HIT,52.22,0.5802090555044622,0.4606985772075736,0.4622014406672564,0.4584602067315036,0.49407702047654983,0.5261930010604453,1.0,0.9981
AI Picks by Srini underdog - March 9 2026.csv,67,2046,Mikal Bridges,RA,OVER,54.30%,DO NOT BET,C,✅ HIT,51.4,0.5897914542177466,0.4606580232214983,0.5152613240418118,0.4925952315702933,0.49407702047654983,0.6477351916376306,1.0,0.9789
AI Picks by Srini underdog - March 10 2026.csv,505,2047,CJ McCollum,3PM,UNDER,52.40%,DO NOT BET,S,✅ HIT,51.62,0.5870862337874421,0.46058158712830793,0.5747041267881033,0.5869918699186992,0.49407702047654983,0.4440214158239143,1.0,0.9971
AI Picks by Srini underdog - March 12 2026.csv,368,2048,Giannis Antetokounmpo,PTS,OVER,54.7%,DO NOT BET,D,✅ HIT,53.22,0.5681738544731645,0.46052095647590097,0.4830232333943893,0.4584602067315036,0.49407702047654983,0.5149974052932018,1.0,0.9957
AI Picks by Srini underdog - March 10 2026.csv,516,2049,Julius Randle,REB,OVER,50.80%,DO NOT BET,B,✅ HIT,51.05,0.5935566386973732,0.4604295521547208,0.5620746167935988,0.5557229965156795,0.49407702047654983,0.6265071329958583,1.0,0.9959
AI Picks by Srini underdog - March 15 2026.csv,296,2050,Russell Westbrook,PR,UNDER,54.9%,DO NOT BET,D,NO GAME,52.77,0.5731000399512631,0.46028261006426324,0.4622014406672564,0.4584602067315036,0.49407702047654983,0.6045528455284552,1.0,0.9848
AI Picks by Srini underdog - March 12 2026.csv,373,2051,Jalen Suggs,PTS,UNDER,55.3%,DO NOT BET,D,❌ MISS,53.16,0.5683388544731646,0.4601694908795808,0.4830232333943893,0.4584602067315036,0.49407702047654983,0.5149974052932018,1.0,0.9582
AI Picks by Srini underdog - March 10 2026.csv,428,2052,Michael Porter Jr.,PA,OVER,58.10%,DO NOT BET,D,❌ MISS,53.68,0.5622072068358047,0.46015945508340583,0.4054911368785819,0.4584602067315036,0.49407702047654983,0.5281951219512195,1.0,0.9289000000000001
AI Picks by Srini underdog - March 13 2026.csv,322,2053,Bennedict Mathurin,PR,UNDER,54.8%,DO NOT BET,D,❌ MISS,53.75,0.5613739288401521,0.46015299258193865,0.4622014406672564,0.4584602067315036,0.49407702047654983,0.4934417344173441,1.0,0.9793
AI Picks by Srini underdog - March 11 2026.csv,293,2054,Nikola Jokić,FTM,UNDER,52.00%,DO NOT BET,B,✅ HIT,53.16,0.5681591537530408,0.46005268541150035,0.5145057766367137,0.5557229965156795,0.49407702047654983,0.4297199638663053,1.0,0.9902
AI Picks by Srini underdog - March 10 2026.csv,451,2055,Jalen Johnson,FGA,OVER,52.50%,DO NOT BET,D,✅ HIT,53.13,0.5684348804058325,0.4600025499376549,0.4736390243902439,0.4584602067315036,0.49407702047654983,0.6164260826281732,1.0,0.9852
AI Picks by Srini underdog - March 10 2026.csv,424,2056,Immanuel Quickley,PR,OVER,55.30%,DO NOT BET,D,❌ MISS,53.74,0.5612441804855257,0.45999220355204473,0.4622014406672564,0.4584602067315036,0.49407702047654983,0.4679442508710801,1.0,0.9937
AI Picks by Srini underdog - March 12 2026.csv,377,2057,Josh Giddey,RA,OVER,54.6%,DO NOT BET,C,✅ HIT,53.11,0.5685076911515445,0.45989697172359423,0.5152613240418118,0.4925952315702933,0.49407702047654983,0.42409756097560974,1.0,0.9801
AI Picks by Srini underdog - March 11 2026.csv,302,2058,Kawhi Leonard,FGA,OVER,52.80%,DO NOT BET,D,✅ HIT,52.9,0.5708693922180621,0.4598265728297098,0.4736390243902439,0.4584602067315036,0.49407702047654983,0.633921200750469,1.0,0.9785
AI Picks by Srini underdog - March 10 2026.csv,502,2059,De'Aaron Fox,RA,OVER,52.40%,DO NOT BET,C,✅ HIT,51.74,0.5843930976556095,0.45974847983525735,0.5152613240418118,0.4925952315702933,0.49407702047654983,0.6501016260162601,1.0,0.9954
AI Picks by Srini underdog - March 10 2026.csv,404,2060,Luka Dončić,AST,OVER,53.80%,DO NOT BET,C,✅ HIT,54.31,0.5541039402169848,0.45970884554253555,0.4745136763108522,0.4925952315702933,0.49407702047654983,0.3885553470919324,1.0,0.9805
AI Picks by Srini underdog - March 14 2026.csv,309,2061,Kevin Porter Jr.,FTM,OVER,53.6%,DO NOT BET,B,✅ HIT,53.21,0.5667373741685783,0.4595107916785333,0.5145057766367137,0.5557229965156795,0.49407702047654983,0.3668021680216802,1.0,0.9788
AI Picks by Srini underdog - March 15 2026.csv,279,2062,Immanuel Quickley,RA,OVER,52.6%,DO NOT BET,C,❌ MISS,53.23,0.5664723601410916,0.45949143775944035,0.5152613240418118,0.4925952315702933,0.49407702047654983,0.4679442508710801,1.0,0.9877
AI Picks by Srini underdog - March 9 2026.csv,55,2063,OG Anunoby,3PA,OVER,52.20%,DO NOT BET,B,✅ HIT,53.71,0.5605634710402938,0.4593203846144839,0.5765635645183267,0.5557229965156795,0.49407702047654983,0.4040975609756097,0.75,0.9777
AI Picks by Srini underdog - March 12 2026.csv,402,2064,Desmond Bane,FGA,UNDER,55.5%,DO NOT BET,D,✅ HIT,51.93,0.5813406967323631,0.4592170186234946,0.4736390243902439,0.4584602067315036,0.49407702047654983,0.6368342458934793,1.0,0.9985
AI Picks by Srini underdog - March 15 2026.csv,266,2065,Kyle Kuzma,PTS,OVER,51.9%,DO NOT BET,D,❌ MISS,53.79,0.5593179141012007,0.459122393399167,0.4830232333943893,0.4584602067315036,0.49407702047654983,0.5227380015735641,1.0,0.9935
AI Picks by Srini underdog - March 15 2026.csv,293,2066,Cooper Flagg,TOV,UNDER,50.9%,DO NOT BET,A,❌ MISS,52.94,0.5693046242606166,0.459115284054917,0.59583830803343,0.6088002636783125,0.49407702047654983,0.4270168855534709,0.75,0.9906
AI Picks by Srini underdog - March 14 2026.csv,305,2067,Brandon Miller,AST,UNDER,53.8%,DO NOT BET,C,✅ HIT,53.45,0.5631189507014788,0.45899367881019965,0.4745136763108522,0.4925952315702933,0.49407702047654983,0.47460545193687226,1.0,0.9887
AI Picks by Srini underdog - March 11 2026.csv,273,2068,Paolo Banchero,PR,OVER,51.80%,DO NOT BET,D,✅ HIT,53.85,0.5582448150766741,0.458883594629545,0.4622014406672564,0.4584602067315036,0.49407702047654983,0.5575505967825636,1.0,0.9925
